,review,true_strong,true_weak,true_other_strong,true_other_weak,true_strong_weak,abs_true_strong_alt,abs_true_weak_alt,abs_other_strong_alt,abs_other_weak_alt,abs_true_strong_weak_alt,instruction,label,formatted_output
10,"MY wife went here to donate her hair to locks of love, if you donate 10 inches of hair your haircut is free. can't get better than that.

everyone there was nice and professional. my wife was in and out in under and hour despite the fact that there were a bunch of people there ahead of us.

If you want to check in to their store on your phone you can get into the haircut line before you get there and it lasts for up to an hour. it will save you wait time.",locks of love,,,,locks of love,"A customer went to donate her hair to Locks of Love, if you donate 10 inches of hair your haircut is free.",,,,"A customer went to donate her hair to Locks of Love, if you donate 10 inches of hair your haircut is free.","Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",locks of love,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: MY wife went here to donate her hair to locks of love, if you donate 10 inches of hair your haircut is free. can't get better than that.

everyone there was nice and professional. my wife was in and out in under and hour despite the fact that there were a bunch of people there ahead of us.

If you want to check in to their store on your phone you can get into the haircut line before you get there and it lasts for up to an hour. it will save you wait time."
11,"Blue is a place that stays in your head after you leave. The people just ""get it""...they're friendly without being over the top and fake. They always have beers, drinks and food for you while you wait. The music is fantastic...by that, I mean what they play on their radio AND the live jazz they have on the weekends. It's a fantastic atmosphere full of creative people who care about their art. The salon owner, Will, aims to create a true experience for every customer that walks through the doors and that's exactly what he's done. Walking out with a fantastic haircut is just a bonus.",live jazz,,,,live jazz,The salon has live jazz on the weekends.,,,,,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",live jazz,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: Blue is a place that stays in your head after you leave. The people just ""get it""...they're friendly without being over the top and fake. They always have beers, drinks and food for you while you wait. The music is fantastic...by that, I mean what they play on their radio AND the live jazz they have on the weekends. It's a fantastic atmosphere full of creative people who care about their art. The salon owner, Will, aims to create a true experience for every customer that walks through the doors and that's exactly what he's done. Walking out with a fantastic haircut is just a bonus."
12,So long story short. I ended up getting burns on my forehead after getting my sewin done. Mind you also had to wait because the stylist LEFT for a hour and then came back to salon! Seriously horrible! I would give no stars but there regular hair lady is on vacation!,,,,,,,,,,,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: So long story short. I ended up getting burns on my forehead after getting my sewin done. Mind you also had to wait because the stylist LEFT for a hour and then came back to salon! Seriously horrible! I would give no stars but there regular hair lady is on vacation!"
13,"Went here based on the recommendation from a dear, trusted friend who would never steer me wrong! I absolutely love the atmosphere at Duross & Langel. It's very inviting, warm, and bright; everything you would want from a salon. It is the perfect location; walking distance from work and near all of the fun restaurants and bars. I thought the prices were reasonable too. I had a groupon, but even the regular pricing was pretty standard/reasonable. The staff is so nice and helpful. Their signature soap store is on the first/bottom level, the salon on the second, and the yoga studio on the third. It's such a fun setup. My stylist was Kensey and she was very attentive to the cut and color I wanted and spent a lot of time getting it just right. I tend to be indecisive and she was helpful in getting me to make a decision about length and color! She used their signature Bark shampoo and conditioner which smells AMAZING and does not leave any type of build up in your hair. I bought both on my way out because it's that great. I am so happy with the way my hair turned out - I haven't had a cut I like in a really long time. I will definitely be a regular client of D&L and Kensey! Thank you!","Their signature soap store, yoga studio",,,,"Their signature soap store, yoga studio",The salon has a signature soap store and a yoga studio.,,,,The salon has a signature soap store and a yoga studio.,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.","Their signature soap store, yoga studio","question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: Went here based on the recommendation from a dear, trusted friend who would never steer me wrong! I absolutely love the atmosphere at Duross & Langel. It's very inviting, warm, and bright; everything you would want from a salon. It is the perfect location; walking distance from work and near all of the fun restaurants and bars. I thought the prices were reasonable too. I had a groupon, but even the regular pricing was pretty standard/reasonable. The staff is so nice and helpful. Their signature soap store is on the first/bottom level, the salon on the second, and the yoga studio on the third. It's such a fun setup. My stylist was Kensey and she was very attentive to the cut and color I wanted and spent a lot of time getting it just right. I tend to be indecisive and she was helpful in getting me to make a decision about length and color! She used their signature Bark shampoo and conditioner which smells AMAZING and does not leave any type of build up in your hair. I bought both on my way out because it's that great. I am so happy with the way my hair turned out - I haven't had a cut I like in a really long time. I will definitely be a regular client of D&L and Kensey! Thank you!"
14,"Christy one of the co-owners of Ciao has been doing my hair for several years. I have straight, fine, naturally blonde hair. Christy has cut it in varying overall lengths and amount of layers as I tried differing styles - from bobs to below shoulder length, bangs or not. Christy has consistently given me cuts to complement my lifestyle, hair and face so that my hair is easy care, healthy and shiny. She also does my highlights (foil method) so that they blend with my natural color but brighten it up. She is careful to choose the strengths and colors so that as my hair grows they continue to appear very natural over at least 8 weeks. If I can make the time, she schedules in between haircuts/highlights bang trims. 
I have seen her work on many clients with all sorts of hair and styles and have never seen a bad cut. By their greetings and how she's booked, it's clear that most clients stick with her once they find her. 
The salon itself is a calm and welcoming, and meticulously clean. There's parking up a little driveway behind the salon or for treatments less than 90 minutes there's usually street parking (even though Trader Joe's is right up the street). There's always a new art show on the walls and often handcrafted jewelry, handbags and/or jewelry to purchase if you like (right now the jewelry is gorgeous). Ciao also carries all sorts of quality hair products which they sell for good prices.","handcrafted jewelry, handbags, jewelry",new art show,,,"new art show, handcrafted jewelry, handbags, jewelry","The salon has handcrafted jewelry, handbags and/or jewelry to purchase.",The salon has art on the walls.,,,"The salon has art on the walls and handcrafted jewelry, handbags and/or jewelry to purchase.","Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.","handcrafted jewelry, handbags, jewelry","question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: Christy one of the co-owners of Ciao has been doing my hair for several years. I have straight, fine, naturally blonde hair. Christy has cut it in varying overall lengths and amount of layers as I tried differing styles - from bobs to below shoulder length, bangs or not. Christy has consistently given me cuts to complement my lifestyle, hair and face so that my hair is easy care, healthy and shiny. She also does my highlights (foil method) so that they blend with my natural color but brighten it up. She is careful to choose the strengths and colors so that as my hair grows they continue to appear very natural over at least 8 weeks. If I can make the time, she schedules in between haircuts/highlights bang trims. 
I have seen her work on many clients with all sorts of hair and styles and have never seen a bad cut. By their greetings and how she's booked, it's clear that most clients stick with her once they find her. 
The salon itself is a calm and welcoming, and meticulously clean. There's parking up a little driveway behind the salon or for treatments less than 90 minutes there's usually street parking (even though Trader Joe's is right up the street). There's always a new art show on the walls and often handcrafted jewelry, handbags and/or jewelry to purchase if you like (right now the jewelry is gorgeous). Ciao also carries all sorts of quality hair products which they sell for good prices."
15,"I discovered The Beauty Lounge through a great Groupon offer that included full highlights, cut, and Moroccan oil treatment. Convenient location on Main Street in the Carmel Arts & Design District. Services provided include full hair services, eyelash extensions, make-up, manicures, and spray tanning. 

I like the atmosphere at The Beauty Lounge. It's modern, tidy, and uncluttered. Some product is available, but it doesn't feel like you're stepping into a Beauty Supply store. The Beauty Lounge is all about your beauty experience. There's a calm, zen-feel to this space... as a matter of fact, I think there's a small yoga class hosted upstairs. This offers the unspoken message regarding the care of inner beauty, too.

Eva Harris is the head stylist. She's very professional and her experience includes celebrity photo shoots and being named an Indy Monthly Top Stylist. I would feel intimidated and uncomfortable in an overly chi-chi salon. Beauty Lounge is chic yet welcoming and comfortable. Eva listened to my hair goals and I'm really pleased with my new highlights. I should have taken a pic as soon as I left the salon...

Sounds like they have a new eyelash extension offer on Groupon. Overheard the receptionist explaining that they use medical-grade adhesive for the healthiest hold and long wear. Also, I've seen some photos of Eva's hair & make-up styling and would highly recommend her for a special event or bridal party services. If I finally finish my book, I'll be making an appointment here to get beautified before my author photo...","eyelash extensions, make-up, manicures, spray tanning, small yoga class","calm, zen-feel",,,"eyelash extensions, make-up, manicures, spray tanning, calm, zen-feel, small yoga class","The salon provides services such as eyelash extensions, make-up, manicures, and spray tanning.
There's a small yoga class hosted upstairs.","There's a calm, zen-feel to this salon.",,,"The salon provides services such as eyelash extensions, make-up, manicures, and spray tanning.
There's a calm, zen-feel to this salon.
There's a small yoga class hosted upstairs.","Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.","eyelash extensions, make-up, manicures, spray tanning, small yoga class","question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: I discovered The Beauty Lounge through a great Groupon offer that included full highlights, cut, and Moroccan oil treatment. Convenient location on Main Street in the Carmel Arts & Design District. Services provided include full hair services, eyelash extensions, make-up, manicures, and spray tanning. 

I like the atmosphere at The Beauty Lounge. It's modern, tidy, and uncluttered. Some product is available, but it doesn't feel like you're stepping into a Beauty Supply store. The Beauty Lounge is all about your beauty experience. There's a calm, zen-feel to this space... as a matter of fact, I think there's a small yoga class hosted upstairs. This offers the unspoken message regarding the care of inner beauty, too.

Eva Harris is the head stylist. She's very professional and her experience includes celebrity photo shoots and being named an Indy Monthly Top Stylist. I would feel intimidated and uncomfortable in an overly chi-chi salon. Beauty Lounge is chic yet welcoming and comfortable. Eva listened to my hair goals and I'm really pleased with my new highlights. I should have taken a pic as soon as I left the salon...

Sounds like they have a new eyelash extension offer on Groupon. Overheard the receptionist explaining that they use medical-grade adhesive for the healthiest hold and long wear. Also, I've seen some photos of Eva's hair & make-up styling and would highly recommend her for a special event or bridal party services. If I finally finish my book, I'll be making an appointment here to get beautified before my author photo..."
16,"Such an amazing space. Guaranteed - you will become just a little bit cooler and more stylish from even just walking into the place. Not only is the environment and decor inspiring - from the photography on the walls to the vintage furniture everywhere, but they also sell all kinds of things that you're going to want to buy. They sell vintage dresses, new designer T shirts, and best of all - all kinds of amazing, one of a kind jewelry pieces and handmade hats and scarfs. There were easily 5 things that I wanted to buy immediately upon arrival. I decided on one new scarf and I love it! I will be back to buy some jewelry next time.

Also you will leave with a hairstyle that is flattering, edgy, and stylish. The do cuts, colors, braids, wedding hair - everything. There is a photography studio in the back where you can book photo shoots as well. The owners and employees are beyond friendly. You should totally check this place out for so many reasons, it's really unique and inspiring.","vintage dresses, new designer T shirts, one of a kind jewelry pieces, handmade hats, scarfs, photography studio",,,,"vintage dresses, new designer T shirts, one of a kind jewelry pieces, handmade hats, scarfs, photography studio","The salon sells vintage dresses, new designer T shirts, jewelry pieces and handmade hats and scarfs.
There is a photography studio in the back where you can book photo shoots as well.",,,,"The salon sells vintage dresses, new designer T shirts, jewelry pieces and handmade hats and scarfs.
There is a photography studio in the back where you can book photo shoots as well.","Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.","vintage dresses, new designer T shirts, one of a kind jewelry pieces, handmade hats, scarfs, photography studio","question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: Such an amazing space. Guaranteed - you will become just a little bit cooler and more stylish from even just walking into the place. Not only is the environment and decor inspiring - from the photography on the walls to the vintage furniture everywhere, but they also sell all kinds of things that you're going to want to buy. They sell vintage dresses, new designer T shirts, and best of all - all kinds of amazing, one of a kind jewelry pieces and handmade hats and scarfs. There were easily 5 things that I wanted to buy immediately upon arrival. I decided on one new scarf and I love it! I will be back to buy some jewelry next time.

Also you will leave with a hairstyle that is flattering, edgy, and stylish. The do cuts, colors, braids, wedding hair - everything. There is a photography studio in the back where you can book photo shoots as well. The owners and employees are beyond friendly. You should totally check this place out for so many reasons, it's really unique and inspiring."
17,"I was looking for a solution to tame my frizz not wanting to go the keratin route and ended up booking the phyto relaxer treatment here thinking it's just a smoothing treatment. I know, stupid me! My appointment was booked with Drea, the master stylist here. One look at my hair and she said I don't need to go the relaxer route. I just need some deep conditioning to hydrate my hair. I'm glad she just gave me good advice without trying to upsell treatments. The entire process took almost an hour and I just walked out of the salon with smooth nicely blow dried hair. Thanks Drea for understanding my attempt of reducing chemicals and unnecessarily stressing my hair.",,,,,,,,,,,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: I was looking for a solution to tame my frizz not wanting to go the keratin route and ended up booking the phyto relaxer treatment here thinking it's just a smoothing treatment. I know, stupid me! My appointment was booked with Drea, the master stylist here. One look at my hair and she said I don't need to go the relaxer route. I just need some deep conditioning to hydrate my hair. I'm glad she just gave me good advice without trying to upsell treatments. The entire process took almost an hour and I just walked out of the salon with smooth nicely blow dried hair. Thanks Drea for understanding my attempt of reducing chemicals and unnecessarily stressing my hair."
18,"Yesterday was my first visit to Paris Parker. I have never gone to a stylist that didn't come with a recommendation in my life until now. I was short on time and wanted to go somewhere near my home.

They told me I would see Stacey for my full highlight appointment. 

She was awesome!

She got all the brassy color out of my hair and made my blonde look natural and vibrant. 

Blonde hair isn't easy and I was expecting to have to go back a couple of times to someone new until they got it just right. I was wrong.

Stacey nailed the color and was really nice to chat with too! Also a must when hanging in a chair for hours. 

Highly recommend... Although I may regret it if she gets too booked up :)",,,,,,,,,,,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: Yesterday was my first visit to Paris Parker. I have never gone to a stylist that didn't come with a recommendation in my life until now. I was short on time and wanted to go somewhere near my home.

They told me I would see Stacey for my full highlight appointment. 

She was awesome!

She got all the brassy color out of my hair and made my blonde look natural and vibrant. 

Blonde hair isn't easy and I was expecting to have to go back a couple of times to someone new until they got it just right. I was wrong.

Stacey nailed the color and was really nice to chat with too! Also a must when hanging in a chair for hours. 

Highly recommend... Although I may regret it if she gets too booked up :)"
19,"Today was haircut day yay! One of my favorite days ever. I just realized that I haven't reviewed J Bangs Salon, where I've been going to Morgan for about the past year (I had to switch from my previous, VERY expensive salon when I suddenly decided to stop hemmoraging money). Actually, she cut my hair at another place, then she moved to J Bangs so I followed...

For the salon as a whole, it's decent--pretty small, but tidy and trendy. I used to think what annoyed me about other locations was the hip staff all dressed in black, and acted too cool for school. J Bangs isn't like that, but THAT kind of annoys me now. Like, is this place not that cool or something? Anyway, clearly this could be a weird issue of my own I need to deal with!

Much more important than the actual building and decor is the stylist...and I love Morgan! She does a great cut and color, for less than half what I used to pay at my old place. I get so many more compliments on my hair these days! 

I give the salon 3 stars because it's just fine. Really, go there for the stylist--Morgan! I would give HER 5 stars!",,,,,,,,,,,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: Today was haircut day yay! One of my favorite days ever. I just realized that I haven't reviewed J Bangs Salon, where I've been going to Morgan for about the past year (I had to switch from my previous, VERY expensive salon when I suddenly decided to stop hemmoraging money). Actually, she cut my hair at another place, then she moved to J Bangs so I followed...

For the salon as a whole, it's decent--pretty small, but tidy and trendy. I used to think what annoyed me about other locations was the hip staff all dressed in black, and acted too cool for school. J Bangs isn't like that, but THAT kind of annoys me now. Like, is this place not that cool or something? Anyway, clearly this could be a weird issue of my own I need to deal with!

Much more important than the actual building and decor is the stylist...and I love Morgan! She does a great cut and color, for less than half what I used to pay at my old place. I get so many more compliments on my hair these days! 

I give the salon 3 stars because it's just fine. Really, go there for the stylist--Morgan! I would give HER 5 stars!"
20,"Mary gives fabulous cuts -- I'd been going to her at the Saturn Club for years, so didn't hesitate about following her to Deluxe. This newly renovated space is nice and modern and in a convenient location (next to bicycle therapy). Mary also tries hard to accommodate your schedule.
Haven't tried any of the other stylists yet, but Mary's great! 
Haircuts are about $45.",,,,,,,,,,,"Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.",,"question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: Mary gives fabulous cuts -- I'd been going to her at the Saturn Club for years, so didn't hesitate about following her to Deluxe. This newly renovated space is nice and modern and in a convenient location (next to bicycle therapy). Mary also tries hard to accommodate your schedule.
Haven't tried any of the other stylists yet, but Mary's great! 
Haircuts are about $45."
21,"One of the nicest salons I have ever been to. I loved the interior design and the wide selection of refreshments. The pricing was very fair got what I received. This is the best haircut I have had in a very long time. If also helps that is walking distance from my apartment, and they were also hosting a blanket drive, and I love when businesses are involved in the local community.

There are two reasons this isn't a five star review: first, the online system on which you book appointments is clunky and often doesn't load correctly. I wasn't sure if my appointment was confirmed until the next day. Secondly, my appointment started almost half an hour late, making my haircut take much longer than normal.","blanket drive, local community",,,,"blanket drive, local community","The salon was hosting a blanket drive, and is involved in the local community.",,,,"The salon was hosting a blanket drive, and is involved in the local community.","Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas.","blanket drive, local community","question: Based on the following hair salon review, list aspects that are atypical for a hair salon. Separate them using commas. context: One of the nicest salons I have ever been to. I loved the interior design and the wide selection of refreshments. The pricing was very fair got what I received. This is the best haircut I have had in a very long time. If also helps that is walking distance from my apartment, and they were also hosting a blanket drive, and I love when businesses are involved in the local community.

There are two reasons this isn't a five star review: first, the online system on which you book appointments is clunky and often doesn't load correctly. I wasn't sure if my appointment was confirmed until the next day. Secondly, my appointment started almost half an hour late, making my haircut take much longer than normal."
